"","anon_id","Submission ID","Submission Date","Date","Appropriate Orientation by your Preceptor:","Responsibilities clearly defined by your Preceptor:","Adequate Supervision on Ambulance:","Preceptors responsiveness to clinical questionsby student:","The hot wash afforded me the opportunity to discuss the patient encounter:","Incorporated as member of crew:","Educational objectives accomplished:","Overall educational experience:"
"19",550,"5901981844212465674",2024-04-29 06:09:44,2024-04-26,5,5,5,5,5,5,5,5
"20",551,"5901981844212465674",2024-04-29 06:09:44,2024-04-26,5,5,5,5,5,5,5,5
"21",130,"5900804830316909184",2024-04-27 21:28:03,2024-04-27,5,5,5,5,5,5,5,5
"22",272,"5900704936069747395",2024-04-27 18:41:33,2024-04-27,5,5,5,5,5,5,5,5
"23",146,"5899904716368547723",2024-04-26 20:27:51,2024-04-26,5,5,5,5,5,5,5,5
"24",101,"5899869894963333534",2024-04-26 19:29:49,2024-04-26,5,5,5,5,5,5,5,5
"25",147,"5899868790182035685",2024-04-26 19:27:59,2024-04-26,5,5,5,5,5,5,5,5
"26",349,"5899764955057775674",2024-04-26 16:34:55,2024-04-26,5,5,5,5,5,5,5,5
"27",324,"5895544491228285259",2024-04-21 19:20:49,2024-04-21,5,4,5,5,5,5,5,5
"28",227,"5895175469588709974",2024-04-21 09:05:46,2024-04-21,5,5,5,5,5,5,5,5
"29",187,"5894625476289380557",2024-04-20 17:49:07,2024-04-20,5,5,5,5,5,5,5,5
"30",757,"5894580120316470609",2024-04-20 16:33:32,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA
"31",141,"5894244478304253662",2024-04-20 07:14:07,2024-04-19,5,5,5,5,5,5,5,5
"32",143,"5894244478304253662",2024-04-20 07:14:07,2024-04-19,5,5,5,5,5,5,5,5
"33",142,"5894244478304253662",2024-04-20 07:14:07,2024-04-19,5,5,5,5,5,5,5,5
"34",247,"5893858244686740212",2024-04-19 20:30:24,2024-04-19,5,5,5,5,5,5,5,5
"35",147,"5893760381872500515",2024-04-19 17:47:18,2024-04-19,5,5,5,5,5,5,5,5
"36",321,"5893756157408141449",2024-04-19 17:40:15,2024-04-19,5,5,5,5,5,5,5,5
"37",322,"5893756157408141449",2024-04-19 17:40:15,2024-04-19,5,5,5,5,5,5,5,5
"38",323,"5893756157408141449",2024-04-19 17:40:15,2024-04-19,5,5,5,5,5,5,5,5
"39",349,"5893740488948572729",2024-04-19 17:14:08,2024-04-19,5,5,5,5,5,5,5,5
"40",470,"5893738428131672351",2024-04-19 17:10:42,2024-04-19,5,5,5,5,5,5,5,5
"41",471,"5893738428131672351",2024-04-19 17:10:42,2024-04-19,5,5,5,5,5,5,5,5
"42",499,"5891123408616858637",2024-04-16 16:32:20,2024-04-16,5,5,5,5,5,5,5,5
"43",522,"5891042494407851574",2024-04-16 14:17:29,2024-04-12,5,5,5,5,5,5,5,5
"44",365,"5889953373407099245",2024-04-15 08:02:17,2024-04-12,5,5,5,5,5,5,5,5
"45",282,"5889660166418914660",2024-04-14 23:53:36,2024-04-15,5,5,5,5,5,5,5,5
"46",728,"5889494376998357474",2024-04-14 19:17:17,2024-04-14,4,5,5,5,5,5,5,5
"47",729,"5889494376998357474",2024-04-14 19:17:17,2024-04-14,4,5,5,5,5,5,5,5
"48",730,"5889494376998357474",2024-04-14 19:17:17,2024-04-14,4,5,5,5,5,5,5,5
"49",651,"5889450457304649447",2024-04-14 18:04:05,2024-04-14,5,5,5,5,5,5,5,5
"50",100,"5889434974919217704",2024-04-14 17:38:18,2024-04-14,5,5,5,5,5,5,5,5
"51",351,"5889427832256519534",2024-04-14 17:26:23,2024-04-14,5,5,5,5,5,5,5,5
"52",721,"5889001083556138037",2024-04-14 05:35:08,2024-04-13,5,5,5,5,5,5,5,5
"53",580,"5888839154656339714",2024-04-14 01:05:15,2024-04-13,5,5,5,5,5,5,5,5
"54",229,"5888615706393345302",2024-04-13 18:52:51,2024-04-13,5,5,5,5,5,5,5,5
"55",537,"5888162698725644399",2024-04-13 06:17:49,2024-04-13,5,5,5,5,5,5,5,5
"56",247,"5887918011719993950",2024-04-12 23:30:01,2024-04-12,5,5,5,5,5,5,5,5
"57",321,"5887859119611775584",2024-04-12 21:51:51,2024-04-12,5,5,5,5,5,5,5,5
"58",322,"5887859119611775584",2024-04-12 21:51:51,2024-04-12,5,5,5,5,5,5,5,5
"59",323,"5887859119611775584",2024-04-12 21:51:51,2024-04-12,5,5,5,5,5,5,5,5
"60",101,"5887765288987613886",2024-04-12 19:15:28,2024-04-12,5,5,5,5,5,5,5,5
"61",465,"5887752548403096098",2024-04-12 18:54:14,2024-04-12,5,5,5,5,5,5,5,5
"62",349,"5887710542336782282",2024-04-12 17:44:14,2024-04-12,5,5,5,5,5,5,5,5
"63",147,"5887701695193308193",2024-04-12 17:29:29,2024-04-12,5,5,5,5,5,5,5,5
"64",29,"5887640258519714779",2024-04-12 15:47:05,2024-04-12,5,5,5,5,5,5,5,5
"65",168,"5887339000015084357",2024-04-12 07:25:00,2024-04-12,5,5,5,5,5,5,5,5
"66",445,"5886958461597340902",2024-04-11 20:50:46,2024-04-11,5,5,5,5,5,5,5,5
"67",338,"5884285490319178468",2024-04-08 18:35:49,2024-04-06,5,5,5,5,5,5,5,5
"68",339,"5884285490319178468",2024-04-08 18:35:49,2024-04-06,5,5,5,5,5,5,5,5
"69",141,"5884281980311811496",2024-04-08 18:29:58,2024-04-05,5,5,5,5,5,5,5,5
"70",143,"5884281980311811496",2024-04-08 18:29:58,2024-04-05,5,5,5,5,5,5,5,5
"71",142,"5884281980311811496",2024-04-08 18:29:58,2024-04-05,5,5,5,5,5,5,5,5
"72",757,"5884276210319362720",2024-04-08 18:20:21,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA
"73",705,"5883517440315795721",2024-04-07 21:15:44,2024-04-07,2,1,3,2,2,2,3,3
"74",651,"5883429650317840035",2024-04-07 18:49:25,2024-03-31,5,5,5,5,5,5,5,5
"75",13,"5883381266765791233",2024-04-07 17:28:46,2024-04-07,5,5,5,5,5,5,5,5
"76",44,"5883206790314703427",2024-04-07 12:37:59,2024-03-30,5,4,4,3,3,4,3,3
"77",44,"5883169730317282500",2024-04-07 11:36:13,2024-04-06,5,5,5,5,5,5,5,5
"78",651,"5883061117809852445",2024-04-07 08:35:11,2024-04-07,5,5,5,5,5,5,5,5
"79",654,"5883010047115984631",2024-04-07 07:10:05,2024-04-07,5,5,5,5,5,5,5,5
"80",757,"5882990301721126254",2024-04-07 06:37:10,2024-04-07,5,NA,NA,NA,NA,NA,NA,NA
"81",363,"5882943632596428576",2024-04-07 05:19:23,2024-04-07,5,5,5,5,5,5,5,5
"82",187,"5882768817327755269",2024-04-07 00:28:01,2024-04-06,4,4,5,5,5,5,5,4
"83",357,"5882633581214930884",2024-04-06 20:42:38,2024-04-06,5,5,5,5,5,5,5,5
"84",153,"5882587189185979655",2024-04-06 19:25:18,2024-03-30,5,5,5,5,5,5,5,5
"85",127,"5882568692226634700",2024-04-06 18:54:41,2024-04-06,5,5,5,5,5,5,5,5
"86",127,"5882568588143202563",2024-04-06 18:54:18,2024-04-06,5,5,5,5,5,5,5,5
"87",168,"5882548375888139120",2024-04-06 18:20:38,2024-04-06,5,5,5,5,5,5,5,5
"88",533,"5882536034228499930",2024-04-06 18:00:03,2024-04-06,5,4,5,5,5,5,5,5
"89",168,"5882496995889875902",2024-04-06 16:54:59,2024-04-06,5,5,5,5,5,5,5,5
"90",220,"5882260000318971410",2024-04-06 10:20:00,2024-04-05,5,5,5,5,5,5,5,5
"91",222,"5882146251004974084",2024-04-06 07:10:25,2024-04-06,5,5,5,5,5,5,5,5
"92",223,"5882146251004974084",2024-04-06 07:10:25,2024-04-06,5,5,5,5,5,5,5,5
"93",728,"5882090753377550293",2024-04-06 05:37:55,2024-04-05,5,4,4,5,4,4,4,4
"94",729,"5882090753377550293",2024-04-06 05:37:55,2024-04-05,5,4,4,5,4,4,4,4
"95",730,"5882090753377550293",2024-04-06 05:37:55,2024-04-05,5,4,4,5,4,4,4,4
"96",204,"5881650724695538976",2024-04-05 17:24:32,2024-04-05,5,5,5,5,5,5,5,5
"97",130,"5881641500319151223",2024-04-05 17:09:10,2024-04-05,5,5,5,5,5,5,5,5
"98",168,"5881292390968426845",2024-04-05 07:27:19,2024-04-05,5,5,5,5,5,5,5,5
"99",494,"5878288900314786283",2024-04-01 20:01:30,2024-03-31,5,5,5,5,5,5,5,5
"100",338,"5878236900316535183",2024-04-01 18:34:50,2024-03-31,5,5,5,5,5,5,5,5
"101",339,"5878236900316535183",2024-04-01 18:34:50,2024-03-31,5,5,5,5,5,5,5,5
"102",595,"5878230175826398913",2024-04-01 18:23:37,2024-04-01,4,4,5,5,4,5,5,5
"103",168,"5877818140593859253",2024-04-01 06:56:54,2024-04-01,5,5,5,5,5,5,5,5
"104",705,"5877406010316267440",2024-03-31 19:30:01,2024-03-31,3,1,1,3,1,2,2,2
"105",33,"5877386009578715043",2024-03-31 18:56:40,2024-03-31,5,5,5,5,5,5,5,5
"106",34,"5877386009578715043",2024-03-31 18:56:40,2024-03-31,5,5,5,5,5,5,5,5
"107",499,"5876997802542534540",2024-03-31 08:09:40,2024-03-31,5,5,5,5,5,5,5,5
"108",227,"5876952769706468396",2024-03-31 06:54:36,2024-03-31,5,5,5,4,5,5,5,5
"109",222,"5876907231049976075",2024-03-31 05:38:43,2024-03-31,5,5,5,5,5,5,5,5
"110",223,"5876907231049976075",2024-03-31 05:38:43,2024-03-31,5,5,5,5,5,5,5,5
"111",486,"5876905304914680666",2024-03-31 05:35:30,2024-03-31,5,5,5,5,5,5,5,5
"112",485,"5876905304914680666",2024-03-31 05:35:30,2024-03-31,5,5,5,5,5,5,5,5
"113",580,"5876716624958324601",2024-03-31 00:21:02,2024-03-30,5,5,5,5,5,5,5,5
"114",533,"5876560731713232179",2024-03-30 20:01:13,2024-03-30,5,5,5,5,5,5,5,5
"115",229,"5876529638927457264",2024-03-30 19:09:23,2024-03-30,5,5,5,5,5,5,5,5
"116",176,"5876504379052379415",2024-03-30 18:27:17,2024-03-30,5,5,5,5,5,5,5,5
"117",424,"5876482408687907998",2024-03-30 17:50:40,2024-03-29,5,5,5,5,NA,NA,NA,NA
"118",423,"5876482408687907998",2024-03-30 17:50:40,2024-03-29,5,5,5,5,NA,NA,NA,NA
"119",204,"5875598162724710835",2024-03-29 17:16:56,2024-03-29,5,5,5,5,NA,5,5,5
"120",515,"5872151441613031285",2024-03-25 17:32:24,2024-03-25,5,5,5,5,5,5,5,5
"121",514,"5872151441613031285",2024-03-25 17:32:24,2024-03-25,5,5,5,5,5,5,5,5
"122",705,"5871750306816351878",2024-03-25 06:23:50,2024-03-24,4,3,4,5,2,3,4,4
"123",445,"5871293888982884250",2024-03-24 17:43:08,2024-03-24,4,4,4,4,4,4,4,4
"124",575,"5871280488326353083",2024-03-24 17:20:48,2024-03-24,5,5,5,5,5,5,5,5
"125",38,"5871275800575216876",2024-03-24 17:13:00,2024-03-23,5,5,5,5,5,5,5,5
"126",64,"5870928606818545623",2024-03-24 07:34:20,2024-03-23,5,5,5,5,5,5,5,5
"127",108,"5870874767977026703",2024-03-24 06:04:36,2024-03-24,5,5,5,5,4,5,4,4
"128",363,"5870858603633833627",2024-03-24 05:37:40,2024-03-24,5,5,5,5,5,5,5,5
"129",663,"5870449339402235916",2024-03-23 18:15:33,2024-03-23,5,5,5,5,NA,5,4,4
"130",721,"5870035243478582365",2024-03-23 06:45:24,2024-03-23,5,5,5,5,5,5,5,5
"131",272,"5870019982004280746",2024-03-23 06:19:58,2024-03-22,5,5,5,5,5,5,5,5
"132",227,"5870010467939059172",2024-03-23 06:04:06,2024-03-23,5,5,5,5,5,5,5,5
"133",368,"5869550345698126154",2024-03-22 17:17:14,2024-03-22,5,5,5,5,5,5,5,5
"134",580,"5867496215743789432",2024-03-20 08:13:41,2024-03-19,5,5,5,5,5,5,5,5
"135",38,"5866963412054426367",2024-03-19 17:25:41,2024-03-19,5,5,5,5,5,5,5,5
"136",38,"5865220577797925172",2024-03-17 17:00:57,2024-03-17,5,5,5,5,5,5,5,5
"137",229,"5864431829513651004",2024-03-16 19:06:22,2024-03-16,5,5,5,5,5,5,5,5
"138",207,"5864418265825027158",2024-03-16 18:43:46,2024-03-16,5,5,5,5,5,5,5,5
"139",176,"5864375928128033887",2024-03-16 17:33:13,2024-03-16,5,5,5,5,5,5,5,5
"140",368,"5863524114107219872",2024-03-15 17:53:31,2024-03-15,5,5,5,5,5,5,5,5
"141",472,"5859240961226003538",2024-03-10 18:54:56,2024-03-10,5,5,5,5,5,5,5,5
"142",497,"5858395416908149937",2024-03-09 19:25:41,2024-03-09,5,5,5,5,5,5,5,5
"143",33,"5853194766769681234",2024-03-03 18:57:57,2024-03-03,5,5,5,5,5,5,5,5
"144",34,"5853194766769681234",2024-03-03 18:57:57,2024-03-03,5,5,5,5,5,5,5,5
"145",33,"5853192886761378346",2024-03-03 18:54:48,2024-03-03,5,5,5,5,5,5,5,5
"146",34,"5853192886761378346",2024-03-03 18:54:48,2024-03-03,5,5,5,5,5,5,5,5
"147",207,"5853172338229029172",2024-03-03 18:20:33,2024-03-03,5,5,5,5,5,5,5,5
"148",472,"5853152240116284354",2024-03-03 17:47:04,2024-03-03,3,3,4,3,4,3,3,3
"149",755,"5851492059277688091",2024-03-01 19:40:05,2024-02-18,5,5,5,5,5,5,5,5
"150",207,"5847206333617019878",2024-02-25 20:37:13,2024-02-25,5,5,5,5,5,5,5,5
"151",472,"5847155310627411803",2024-02-25 19:12:11,2024-02-25,4,4,4,5,5,4,5,4
"152",755,"5847125789665293926",2024-02-25 18:22:58,2024-02-25,5,5,5,5,5,5,5,5
"153",497,"5846288924328118509",2024-02-24 19:08:12,2024-02-24,5,5,5,5,5,5,5,5
"154",516,"5846267475874960148",2024-02-24 18:32:27,2024-02-24,5,5,5,5,5,5,5,5
"155",516,"5845559613955069975",2024-02-23 22:52:41,2024-02-23,5,5,5,5,5,5,5,5
"156",85,"5845462840258193177",2024-02-23 20:11:24,2024-02-23,5,5,5,5,5,5,5,5
"157",497,"5845440223519487219",2024-02-23 19:33:43,2024-02-23,5,5,5,5,5,5,5,5
"158",7,"5845415180686711621",2024-02-23 18:51:58,2024-02-23,5,5,5,5,5,5,5,5
"159",712,"5845408281468135601",2024-02-23 18:40:28,2024-02-23,5,5,5,5,5,5,5,5
"160",173,"5844725582837044492",2024-02-22 23:42:38,2024-02-22,5,5,5,5,5,5,5,5
"161",90,"5844605268002390631",2024-02-22 20:22:06,2024-02-22,5,5,5,5,5,5,5,5
"162",129,"5844600478236191690",2024-02-22 20:14:07,2024-02-22,5,5,5,5,4,5,5,5
"163",33,"5844548305134627886",2024-02-22 18:47:10,2024-02-22,5,5,5,5,5,5,5,5
"164",34,"5844548305134627886",2024-02-22 18:47:10,2024-02-22,5,5,5,5,5,5,5,5
"165",497,"5844537348663008934",2024-02-22 18:28:54,2024-02-22,5,5,5,5,5,5,5,5
"166",755,"5844515260939875599",2024-02-22 17:52:06,2024-02-22,5,5,5,5,5,5,5,5
"167",10,"5843825573114995927",2024-02-21 22:42:38,2024-02-21,5,5,5,5,5,5,5,5
"168",7,"5843729140564901196",2024-02-21 20:01:54,2024-02-21,5,5,5,5,5,5,5,5
"169",337,"5843723127814502523",2024-02-21 19:51:52,2024-02-21,4,5,4,5,5,4,4,5
"170",336,"5843723127814502523",2024-02-21 19:51:52,2024-02-21,4,5,4,5,5,4,4,5
"171",712,"5843684044513083536",2024-02-21 18:46:44,2024-02-21,5,5,5,5,5,5,5,5
"172",173,"5842862785424600135",2024-02-20 19:57:59,2024-02-20,5,5,5,5,5,5,5,4
"173",129,"5842834143008026009",2024-02-20 19:10:14,2024-02-20,4,4,4,5,4,5,5,5
"174",90,"5842807643403938522",2024-02-20 18:26:04,2024-02-20,5,5,5,5,5,5,5,5
"175",10,"5842800358116655060",2024-02-20 18:13:55,2024-02-20,5,5,5,5,5,5,5,5
"176",337,"5842796801929322182",2024-02-20 18:08:00,2024-02-20,5,5,5,5,5,5,5,5
"177",336,"5842796801929322182",2024-02-20 18:08:00,2024-02-20,5,5,5,5,5,5,5,5
"178",305,"5842793905036308226",2024-02-20 18:03:10,2024-02-20,5,5,5,5,5,5,5,5
"179",85,"5842679048725478489",2024-02-20 14:51:44,2024-02-20,5,5,5,5,5,5,5,5
"180",173,"5842426760641236162",2024-02-20 07:51:16,2024-02-17,5,5,5,5,5,5,5,5
"181",10,"5842112026538180414",2024-02-19 23:06:42,2024-02-19,5,5,5,5,5,5,5,5
"182",10,"5842065615031312813",2024-02-19 21:49:21,2024-02-19,5,5,5,5,5,5,5,5
"183",7,"5842013445318053642",2024-02-19 20:22:24,2024-02-19,5,5,5,5,5,5,5,5
"184",712,"5841999507327744245",2024-02-19 19:59:10,2024-02-19,5,5,5,5,5,5,5,5
"185",85,"5841965953705306753",2024-02-19 19:03:15,2024-02-19,5,4,5,5,5,5,5,5
"186",14,"5841161374324089887",2024-02-18 20:42:17,2024-02-18,4,5,5,5,5,5,5,5
"187",173,"5841156922376103022",2024-02-18 20:34:52,2024-02-18,4,4,4,4,4,4,4,4
"188",83,"5841073394591414669",2024-02-18 18:15:39,2024-02-18,5,5,5,5,5,5,5,5
"189",82,"5841073394591414669",2024-02-18 18:15:39,2024-02-18,5,5,5,5,5,5,5,5
"190",83,"5840244375351400689",2024-02-17 19:14:21,2024-02-17,5,5,5,5,5,5,5,5
"191",82,"5840244375351400689",2024-02-17 19:14:21,2024-02-17,5,5,5,5,5,5,5,5
"192",90,"5840243191405242213",2024-02-17 19:11:59,2024-02-17,4,5,5,5,5,5,5,5
"193",129,"5840221165288118517",2024-02-17 18:35:16,2024-02-17,5,5,5,5,5,4,5,5
"194",83,"5835586902852477744",2024-02-12 09:51:30,2024-02-11,5,5,5,5,5,5,5,5
"195",82,"5835586902852477744",2024-02-12 09:51:30,2024-02-11,5,5,5,5,5,5,5,5
"196",421,"5829862771616080331",2024-02-05 18:51:18,2024-02-05,5,5,5,5,5,5,5,5
"197",186,"5783012621425769959",2023-12-13 13:27:42,2023-12-13,5,5,5,5,5,5,5,5
"198",5,"5782345687116699339",2023-12-12 18:56:09,2023-12-12,5,5,5,5,5,5,5,5
"199",186,"5782177071423496889",2023-12-12 14:15:08,2023-12-06,5,5,5,5,5,5,5,5
"200",186,"5781472774251952524",2023-12-11 18:41:17,2023-12-11,5,5,5,5,5,5,5,5
"201",418,"5781245416917732398",2023-12-11 12:22:21,2023-12-02,5,5,5,5,5,5,5,5
"202",417,"5781245416917732398",2023-12-11 12:22:21,2023-12-02,5,5,5,5,5,5,5,5
"203",573,"5780558278352189683",2023-12-10 17:17:07,2023-12-08,5,5,5,5,5,5,5,5
"204",573,"5780547868353339673",2023-12-10 16:59:46,2023-11-30,5,5,5,5,5,5,5,5
"205",222,"5780411787887906272",2023-12-10 13:12:58,2023-12-09,5,5,5,5,5,5,5,5
"206",223,"5780411787887906272",2023-12-10 13:12:58,2023-12-09,5,5,5,5,5,5,5,5
"207",466,"5779782375508092719",2023-12-09 19:43:57,2023-12-09,5,5,5,5,5,5,5,5
"208",5,"5779748190014287031",2023-12-09 18:46:59,2023-12-09,5,5,5,5,5,5,5,5
"209",697,"5778084119519849859",2023-12-07 20:33:32,2023-12-07,5,5,5,5,5,5,5,5
"210",5,"5778044307712139381",2023-12-07 19:27:10,2023-12-07,5,5,5,5,5,5,5,5
"211",606,"5775362439566530552",2023-12-04 16:57:23,2023-12-03,5,5,5,5,5,5,5,5
"212",605,"5775362439566530552",2023-12-04 16:57:23,2023-12-03,5,5,5,5,5,5,5,5
"213",607,"5775362439566530552",2023-12-04 16:57:23,2023-12-03,5,5,5,5,5,5,5,5
"214",697,"5774730720127157849",2023-12-03 23:24:32,2023-12-03,5,5,5,5,5,5,5,5
"215",411,"5774143771514904599",2023-12-03 07:06:17,2023-12-03,5,5,5,5,5,5,5,5
"216",410,"5774143771514904599",2023-12-03 07:06:17,2023-12-03,5,5,5,5,5,5,5,5
"217",418,"5773800466251065962",2023-12-02 21:34:06,2023-11-24,5,5,5,5,5,5,5,5
"218",417,"5773800466251065962",2023-12-02 21:34:06,2023-11-24,5,5,5,5,5,5,5,5
"219",743,"5772810170403499359",2023-12-01 18:03:37,2023-12-01,5,NA,5,5,5,5,5,5
"220",411,"5772455262011261298",2023-12-01 08:12:06,2023-12-01,5,5,5,5,5,5,5,5
"221",410,"5772455262011261298",2023-12-01 08:12:06,2023-12-01,5,5,5,5,5,5,5,5
"222",296,"5772018177417939384",2023-11-30 20:03:37,2023-11-30,5,5,5,5,5,5,5,5
"223",411,"5771120489117197080",2023-11-29 19:07:28,2023-11-29,5,5,5,5,5,5,5,5
"224",410,"5771120489117197080",2023-11-29 19:07:28,2023-11-29,5,5,5,5,5,5,5,5
"225",530,"5770366581894109041",2023-11-28 22:10:58,2023-11-28,5,5,5,5,5,5,5,5
"226",466,"5765899273462341333",2023-11-23 18:05:27,2023-11-23,5,5,5,5,5,5,5,5
"227",743,"5762949136763857895",2023-11-20 08:08:33,2023-11-18,5,3,5,5,5,5,5,5
"228",293,"5761192744948131943",2023-11-18 07:21:14,2023-11-18,5,5,5,5,5,5,5,5
"229",615,"5758589998164846770",2023-11-15 07:03:19,2023-11-15,5,5,5,5,5,5,5,5
"230",384,"5756249644689934612",2023-11-12 14:02:45,2023-11-12,5,5,5,5,5,5,5,5
"231",529,"5756230852533382297",2023-11-12 13:31:25,2023-11-11,5,5,5,5,5,5,5,5
"232",236,"5754737311122050838",2023-11-10 20:02:11,2023-11-10,5,5,5,5,5,5,5,5
"233",466,"5754246335441561526",2023-11-10 06:23:53,2023-11-09,5,5,5,5,5,5,5,5
"234",236,"5752290181125656410",2023-11-08 00:03:38,2023-11-07,5,5,5,5,5,5,5,5
"235",530,"5750494484716903163",2023-11-05 22:10:48,2023-11-05,5,5,5,5,5,5,5,5
"236",293,"5749941490964122033",2023-11-05 06:49:09,2023-11-05,5,5,5,5,5,5,5,5
"237",697,"5749070390945347568",2023-11-04 06:37:19,2023-11-03,5,5,5,5,5,5,5,5
"238",483,"5747053212218747423",2023-11-01 22:35:21,2023-11-01,5,5,5,5,5,5,5,5
"239",718,"5746587349794843861",2023-11-01 09:38:54,2023-11-01,5,5,5,5,4,5,5,5
"240",718,"5746517239797681661",2023-11-01 07:42:03,2023-11-01,5,5,5,5,4,5,5,5
"241",688,"5746006754711505393",2023-10-31 17:31:15,2023-10-31,5,5,5,5,5,5,5,5
"242",483,"5745636474321634120",2023-10-31 07:14:07,2023-10-31,5,5,5,5,5,5,5,5
"243",402,"5745288171757124764",2023-10-30 21:33:37,2023-10-29,5,5,5,5,5,5,5,5
"244",709,"5745134994415641811",2023-10-30 17:18:19,2023-10-30,5,5,5,5,5,5,5,5
"245",88,"5743891948929756720",2023-10-29 06:46:34,2023-10-28,5,5,5,5,5,5,5,5
"246",483,"5741075367758084922",2023-10-26 00:32:16,2023-10-25,5,5,5,5,5,5,5,5
"247",709,"5740852985012351294",2023-10-25 18:21:38,2023-10-25,5,5,5,5,5,5,5,5
"248",60,"5739928285284500826",2023-10-24 16:40:28,2023-10-24,5,5,5,5,5,5,5,5
"249",60,"5739736235289347662",2023-10-24 11:20:24,2023-10-24,5,5,5,5,5,5,5,5
"250",238,"5739250399206635278",2023-10-23 21:50:39,2023-10-22,5,5,4,4,4,3,3,4
"251",546,"5738284887151412538",2023-10-22 19:01:28,2023-10-21,5,5,5,5,5,5,5,5
"252",433,"5737940322716808777",2023-10-22 09:27:12,2023-10-20,5,5,5,5,5,5,5,5
"253",88,"5737822072317267250",2023-10-22 06:10:07,2023-10-22,5,5,5,5,5,5,5,5
"254",60,"5737387915111011418",2023-10-21 18:06:31,2023-10-21,5,5,5,5,5,5,5,5
"255",473,"5737349982648070584",2023-10-21 17:03:18,2023-10-21,5,5,5,5,5,5,5,5
"256",116,"5736969702292297961",2023-10-21 06:29:30,2023-10-21,5,5,5,5,5,5,5,5
"257",487,"5733681667223616305",2023-10-17 11:09:26,2023-10-14,5,5,5,5,5,5,5,5
"258",238,"5732960083611103705",2023-10-16 15:06:48,2023-10-15,4,4,5,5,4,4,4,4
"259",711,"5732370033521280108",2023-10-15 22:43:23,2023-10-13,5,5,5,5,5,5,5,5
"260",228,"5732255203473373966",2023-10-15 19:32:00,2023-10-15,5,3,4,4,5,3,5,4
"261",288,"5731760164381585516",2023-10-15 05:46:56,2023-10-14,5,5,5,5,5,5,5,5
"262",757,"5731387029816800701",2023-10-14 19:25:02,2023-10-14,5,5,5,5,5,5,5,5
"263",313,"5731372362914404658",2023-10-14 19:00:36,2023-10-14,4,3,4,4,4,3,3,3
"264",312,"5731372362914404658",2023-10-14 19:00:36,2023-10-14,4,3,4,4,4,3,3,3
"265",325,"5731366440625069812",2023-10-14 18:50:44,2023-10-14,5,5,5,5,5,5,5,5
"266",326,"5731366440625069812",2023-10-14 18:50:44,2023-10-14,5,5,5,5,5,5,5,5
"267",327,"5731366440625069812",2023-10-14 18:50:44,2023-10-14,5,5,5,5,5,5,5,5
"268",325,"5726994848712640170",2023-10-09 17:24:45,2023-10-09,5,5,5,5,5,5,5,5
"269",326,"5726994848712640170",2023-10-09 17:24:45,2023-10-09,5,5,5,5,5,5,5,5
"270",327,"5726994848712640170",2023-10-09 17:24:45,2023-10-09,5,5,5,5,5,5,5,5
"271",274,"5726209951313976660",2023-10-08 19:36:35,2023-10-08,5,5,5,5,5,5,5,5
"272",273,"5726209951313976660",2023-10-08 19:36:35,2023-10-08,5,5,5,5,5,5,5,5
